company,job_title,salary,location,year
SQUARE INC,Database Administrator,117000,"San Francisco, CA",2024
VMWARE LLC,Backend Engineer,131000,"Richmond, VA",2025
TWITTER INC,Security Engineer,145000,"San Francisco, CA",2026
ZOOM VIDEO COMMUNICATIONS,Infrastructure Engineer,170000,"Bridgewater, NJ",2026
JPMORGAN CHASE & CO,QA Engineer,165000,"Nashville, TN",2026
PALANTIR TECHNOLOGIES,Cloud Engineer,182000,"Denver, CO",2025
STRIPE INC,Operations Research Analyst,156000,"South San Francisco, CA",2025
DOCUSIGN INC,AI Engineer,157000,"San Francisco, CA",2025
META PLATFORMS INC,Staff Software Engineer,171000,"Kansas City, MO",2026
VMWARE LLC,Technical Program Manager,142000,"Tampa, FL",2025
SPLUNK INC,Site Reliability Engineer,188000,"Denver, CO",2026
ADOBE INC,Database Administrator,134000,"San Jose, CA",2024
GOOGLE LLC,Machine Learning Engineer,215000,"Mountain View, CA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Machine Learning Engineer,84000,"Teaneck, NJ",2026
SNAP INC,Senior Software Engineer,170000,"Richmond, VA",2024
GOLDMAN SACHS & CO LLC,Big Data Engineer,184000,"New York, NY",2024
AMAZON WEB SERVICES INC,Operations Research Analyst,141000,"Seattle, WA",2026
DOCUSIGN INC,Business Intelligence Engineer,175000,"Brooklyn, NY",2025
IBM CORPORATION,Applied Scientist,143000,"Armonk, NY",2024
SALESFORCE INC,Machine Learning Engineer,137000,"Sunnyvale, CA",2024
JPMORGAN CHASE & CO,Systems Engineer,132000,"New York, NY",2026
JPMORGAN CHASE & CO,SRE,135000,"New York, NY",2024
STRIPE INC,Technical Lead,206000,"South San Francisco, CA",2026
MICROSOFT CORPORATION,UX Engineer,179000,"Redmond, WA",2025
TESLA INC,Technical Program Manager,172000,"St. Louis, MO",2026
AIRBNB INC,DevOps Engineer,163000,"San Francisco, CA",2026
AMAZON COM SERVICES LLC,Senior Data Scientist,187000,"Seattle, WA",2026
MICROSOFT CORPORATION,Senior Product Manager,159000,"Redmond, WA",2024
INFOSYS LIMITED,Operations Research Analyst,80000,"Plano, TX",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Security Engineer,86000,"Teaneck, NJ",2025
SALESFORCE INC,Senior Data Scientist,162000,"San Francisco, CA",2024
VMWARE LLC,DevOps Engineer,117000,"Palo Alto, CA",2026
JPMORGAN CHASE & CO,Operations Research Analyst,107000,"New York, NY",2026
DATADOG INC,Technical Program Manager,150000,"Jersey City, NJ",2024
TESLA INC,Senior Product Manager,162000,"Austin, TX",2026
PALANTIR TECHNOLOGIES,Cloud Engineer,170000,"Los Angeles, CA",2025
NVIDIA CORPORATION,Software Engineer,213000,"Santa Clara, CA",2026
ACCENTURE LLP,Technical Lead,137000,"Chicago, IL",2024
SQUARE INC,Senior Engineering Manager,168000,"Philadelphia, PA",2025
NVIDIA CORPORATION,Systems Engineer,228000,"Santa Clara, CA",2026
AIRBNB INC,Research Scientist,175000,"San Francisco, CA",2026
STRIPE INC,Network Engineer,168000,"Redmond, WA",2024
SALESFORCE INC,Frontend Engineer,143000,"San Francisco, CA",2025
SPLUNK INC,Senior DevOps Engineer,174000,"San Francisco, CA",2026
UBER TECHNOLOGIES INC,Solutions Architect,159000,"San Francisco, CA",2026
AMAZON COM SERVICES LLC,Software Engineer,139000,"San Francisco, CA",2026
TWITTER INC,Full Stack Engineer,151000,"San Francisco, CA",2026
APPLE INC,Technical Program Manager,178000,"Cupertino, CA",2025
INTEL CORPORATION,Full Stack Engineer,148000,"Nashville, TN",2025
INFOSYS LIMITED,Research Scientist,102000,"Cambridge, MA",2024
SPLUNK INC,Data Scientist,130000,"Sunnyvale, CA",2025
AMAZON COM SERVICES LLC,UX Engineer,125000,"Seattle, WA",2026
GOLDMAN SACHS & CO LLC,AI Engineer,114000,"New York, NY",2025
NVIDIA CORPORATION,Machine Learning Engineer,245000,"Santa Clara, CA",2026
NVIDIA CORPORATION,AI Engineer,148000,"Santa Clara, CA",2025
TWITTER INC,Software Engineer,165000,"San Francisco, CA",2025
ACCENTURE LLP,Full Stack Engineer,90000,"Chicago, IL",2025
LINKEDIN CORPORATION,Staff Software Engineer,167000,"Seattle, WA",2025
ACCENTURE LLP,Data Scientist,124000,"Chicago, IL",2025
TESLA INC,SDET,122000,"Austin, TX",2026
JPMORGAN CHASE & CO,Research Scientist,150000,"New York, NY",2026
INFOSYS LIMITED,Database Administrator,89000,"Tempe, AZ",2024
NETFLIX INC,AI Engineer,327000,"Los Gatos, CA",2026
INTEL CORPORATION,Solutions Architect,148000,"Palo Alto, CA",2025
SERVICENOW INC,Backend Engineer,158000,"Santa Clara, CA",2024
SERVICENOW INC,Backend Engineer,141000,"Bentonville, AR",2025
CAPITAL ONE SERVICES LLC,Operations Research Analyst,97000,"Plano, TX",2026
AMAZON COM SERVICES LLC,Business Intelligence Engineer,163000,"Bridgewater, NJ",2024
ADOBE INC,Analytics Engineer,137000,"San Jose, CA",2025
STRIPE INC,Staff Software Engineer,195000,"South San Francisco, CA",2025
PINTEREST INC,Solutions Architect,173000,"Tampa, FL",2026
NETFLIX INC,UX Engineer,255000,"Miami, FL",2025
WALMART GLOBAL TECH,Systems Engineer,119000,"Baltimore, MD",2026
VMWARE LLC,Site Reliability Engineer,156000,"Palo Alto, CA",2024
GOLDMAN SACHS & CO LLC,SRE,117000,"New York, NY",2026
CAPITAL ONE SERVICES LLC,Compliance Analyst,98000,"Richmond, VA",2024
PALANTIR TECHNOLOGIES,Senior Data Scientist,134000,"Los Angeles, CA",2026
DOCUSIGN INC,Operations Research Analyst,126000,"Brooklyn, NY",2024
ADOBE INC,Analytics Engineer,158000,"San Jose, CA",2026
CAPITAL ONE SERVICES LLC,Platform Engineer,107000,"Indianapolis, IN",2024
PINTEREST INC,Infrastructure Engineer,154000,"Mountain View, CA",2025
ADOBE INC,Infrastructure Engineer,130000,"San Jose, CA",2026
NVIDIA CORPORATION,Frontend Engineer,153000,"Plano, TX",2026
SERVICENOW INC,Full Stack Engineer,173000,"Newark, NJ",2026
UBER TECHNOLOGIES INC,Big Data Engineer,157000,"San Francisco, CA",2024
ORACLE AMERICA INC,Senior Software Engineer,169000,"Austin, TX",2024
NETFLIX INC,Site Reliability Engineer,283000,"Salt Lake City, UT",2026
ZOOM VIDEO COMMUNICATIONS,Big Data Engineer,172000,"Jersey City, NJ",2026
SALESFORCE INC,Network Engineer,141000,"San Francisco, CA",2025
LINKEDIN CORPORATION,Senior Data Engineer,178000,"Sunnyvale, CA",2025
TESLA INC,SRE,121000,"Austin, TX",2026
VMWARE LLC,Data Scientist,145000,"Palo Alto, CA",2025
AIRBNB INC,Full Stack Engineer,200000,"Bellevue, WA",2026
DATADOG INC,Network Engineer,142000,"New York, NY",2025
SNAP INC,Applied Scientist,163000,"Schaumburg, IL",2025
STRIPE INC,Senior Software Engineer,182000,"South San Francisco, CA",2026
INTEL CORPORATION,Operations Research Analyst,128000,"Santa Clara, CA",2026
NETFLIX INC,Engineering Manager,232000,"Richmond, VA",2024
GOOGLE LLC,AI Engineer,207000,"Mountain View, CA",2024
ADOBE INC,Database Administrator,184000,"San Jose, CA",2025
DELOITTE CONSULTING LLP,Technical Lead,130000,"Sunnyvale, CA",2026
SNAP INC,UX Engineer,171000,"Newark, NJ",2024
AMAZON COM SERVICES LLC,Applied Scientist,129000,"Atlanta, GA",2024
NETFLIX INC,Senior Engineering Manager,318000,"Los Gatos, CA",2026
NVIDIA CORPORATION,Security Engineer,178000,"Santa Clara, CA",2026
JPMORGAN CHASE & CO,Compliance Analyst,109000,"Mountain View, CA",2024
DOCUSIGN INC,Machine Learning Engineer,110000,"San Francisco, CA",2026
PINTEREST INC,SDET,146000,"San Francisco, CA",2024
ZOOM VIDEO COMMUNICATIONS,Database Administrator,183000,"San Jose, CA",2024
AMAZON COM SERVICES LLC,Security Engineer,188000,"Salt Lake City, UT",2024
NVIDIA CORPORATION,Data Scientist,217000,"Santa Clara, CA",2024
JPMORGAN CHASE & CO,Data Engineer,149000,"Boston, MA",2024
PALANTIR TECHNOLOGIES,Senior Software Engineer,170000,"Denver, CO",2026
SERVICENOW INC,Business Intelligence Engineer,138000,"Santa Clara, CA",2025
NETFLIX INC,Machine Learning Engineer,287000,"Los Gatos, CA",2025
NETFLIX INC,Product Manager,223000,"Tampa, FL",2026
INTEL CORPORATION,Data Scientist,155000,"Santa Clara, CA",2025
COGNIZANT TECHNOLOGY SOLUTIONS,Senior Data Scientist,86000,"Teaneck, NJ",2026
PALANTIR TECHNOLOGIES,Network Engineer,185000,"Denver, CO",2024
TWITTER INC,Technical Program Manager,142000,"San Francisco, CA",2026
DELOITTE CONSULTING LLP,Senior Engineering Manager,119000,"New York, NY",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Engineering Manager,87000,"Teaneck, NJ",2024
PINTEREST INC,UX Engineer,183000,"San Francisco, CA",2025
UBER TECHNOLOGIES INC,Product Manager,162000,"Baltimore, MD",2025
PALANTIR TECHNOLOGIES,Network Engineer,156000,"Detroit, MI",2025
TESLA INC,Database Administrator,121000,"Bentonville, AR",2025
STRIPE INC,Full Stack Engineer,202000,"South San Francisco, CA",2024
NETFLIX INC,Financial Analyst,244000,"Los Gatos, CA",2026
AIRBNB INC,Research Scientist,128000,"San Francisco, CA",2025
TATA CONSULTANCY SERVICES,Data Scientist,72000,"Alpharetta, GA",2024
DELOITTE CONSULTING LLP,Senior DevOps Engineer,109000,"New York, NY",2025
CAPITAL ONE SERVICES LLC,SDET,148000,"Minneapolis, MN",2025
INFOSYS LIMITED,UX Engineer,87000,"Cupertino, CA",2024
LINKEDIN CORPORATION,Research Scientist,205000,"Boulder, CO",2026
IBM CORPORATION,Research Scientist,143000,"Detroit, MI",2025
LINKEDIN CORPORATION,Compliance Analyst,150000,"Sunnyvale, CA",2025
DOCUSIGN INC,Site Reliability Engineer,135000,"Dallas, TX",2026
SNAP INC,QA Engineer,179000,"Alpharetta, GA",2024
ORACLE AMERICA INC,Operations Research Analyst,143000,"Austin, TX",2026
IBM CORPORATION,Research Scientist,136000,"Armonk, NY",2024
WALMART GLOBAL TECH,Senior DevOps Engineer,138000,"Bentonville, AR",2026
PINTEREST INC,Security Engineer,193000,"San Francisco, CA",2025
TESLA INC,Technical Program Manager,150000,"Austin, TX",2026
PALANTIR TECHNOLOGIES,Operations Research Analyst,156000,"Denver, CO",2026
NETFLIX INC,Operations Research Analyst,282000,"Los Gatos, CA",2025
LINKEDIN CORPORATION,Research Scientist,154000,"Sunnyvale, CA",2026
GOOGLE LLC,Database Administrator,165000,"Phoenix, AZ",2024
META PLATFORMS INC,Solutions Architect,148000,"Chicago, IL",2024
COGNIZANT TECHNOLOGY SOLUTIONS,SRE,91000,"Mountain View, CA",2026
ACCENTURE LLP,Site Reliability Engineer,88000,"Austin, TX",2024
DATADOG INC,SDET,153000,"Boston, MA",2025
GOLDMAN SACHS & CO LLC,Infrastructure Engineer,140000,"New York, NY",2026
DOCUSIGN INC,UX Engineer,129000,"Cambridge, MA",2025
PINTEREST INC,AI Engineer,182000,"Phoenix, AZ",2024
INTEL CORPORATION,Data Scientist,173000,"Alpharetta, GA",2026
MICROSOFT CORPORATION,SRE,162000,"Redmond, WA",2024
GOOGLE LLC,Database Administrator,155000,"Mountain View, CA",2024
WORKDAY INC,Senior Engineering Manager,174000,"San Francisco, CA",2024
TESLA INC,Analytics Engineer,163000,"Tempe, AZ",2024
DELOITTE CONSULTING LLP,Engineering Manager,123000,"New York, NY",2026
DOCUSIGN INC,Site Reliability Engineer,133000,"San Francisco, CA",2025
AIRBNB INC,Backend Engineer,150000,"San Francisco, CA",2024
ACCENTURE LLP,Cloud Engineer,97000,"San Diego, CA",2024
DELOITTE CONSULTING LLP,SDET,123000,"Jersey City, NJ",2026
WALMART GLOBAL TECH,Frontend Engineer,126000,"Pittsburgh, PA",2024
ZOOM VIDEO COMMUNICATIONS,SRE,133000,"San Jose, CA",2025
JPMORGAN CHASE & CO,Database Administrator,151000,"New York, NY",2025
WALMART GLOBAL TECH,Senior Engineering Manager,116000,"Milwaukee, WI",2026
PINTEREST INC,Senior Engineering Manager,161000,"New York, NY",2025
VMWARE LLC,Senior Product Manager,136000,"Sacramento, CA",2024
ORACLE AMERICA INC,UX Engineer,155000,"Austin, TX",2025
APPLE INC,SRE,193000,"Cupertino, CA",2024
ADOBE INC,Frontend Engineer,190000,"San Jose, CA",2025
TESLA INC,Database Administrator,161000,"Austin, TX",2025
SPLUNK INC,Product Manager,193000,"Bridgewater, NJ",2026
DROPOBOX INC,Database Administrator,131000,"San Francisco, CA",2025
ORACLE AMERICA INC,QA Engineer,142000,"Austin, TX",2026
TATA CONSULTANCY SERVICES,Infrastructure Engineer,73000,"Bridgewater, NJ",2024
ORACLE AMERICA INC,Infrastructure Engineer,109000,"Miami, FL",2026
APPLE INC,Senior Product Manager,182000,"Cupertino, CA",2024
SPLUNK INC,Machine Learning Engineer,153000,"Plano, TX",2025
ZOOM VIDEO COMMUNICATIONS,Frontend Engineer,183000,"San Jose, CA",2024
ORACLE AMERICA INC,Technical Program Manager,163000,"Bridgewater, NJ",2026
META PLATFORMS INC,Senior DevOps Engineer,194000,"Richmond, VA",2025
ACCENTURE LLP,DevOps Engineer,82000,"Chicago, IL",2026
DATADOG INC,QA Engineer,153000,"San Jose, CA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Senior DevOps Engineer,107000,"Charlotte, NC",2026
TWITTER INC,Business Intelligence Engineer,148000,"San Francisco, CA",2025
ADOBE INC,Backend Engineer,166000,"San Jose, CA",2024
MICROSOFT CORPORATION,Platform Engineer,161000,"Schaumburg, IL",2026
ACCENTURE LLP,Frontend Engineer,88000,"Redmond, WA",2026
DELOITTE CONSULTING LLP,Senior DevOps Engineer,139000,"Minneapolis, MN",2025
TATA CONSULTANCY SERVICES,Backend Engineer,96000,"Bridgewater, NJ",2024
DOCUSIGN INC,Senior Data Engineer,131000,"Atlanta, GA",2024
DELOITTE CONSULTING LLP,Engineering Manager,138000,"New York, NY",2025
CAPITAL ONE SERVICES LLC,Database Administrator,128000,"McLean, VA",2026
JPMORGAN CHASE & CO,Site Reliability Engineer,149000,"Cambridge, MA",2024
JPMORGAN CHASE & CO,Engineering Manager,127000,"New York, NY",2025
AIRBNB INC,SRE,149000,"San Francisco, CA",2024
WORKDAY INC,Security Engineer,155000,"Portland, OR",2025
PALANTIR TECHNOLOGIES,QA Engineer,167000,"Denver, CO",2025
PINTEREST INC,Data Engineer,144000,"Alpharetta, GA",2025
VMWARE LLC,Research Scientist,138000,"Palo Alto, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,QA Engineer,95000,"Teaneck, NJ",2026
IBM CORPORATION,AI Engineer,115000,"Armonk, NY",2026
DOCUSIGN INC,Senior Data Engineer,155000,"San Francisco, CA",2025
GOOGLE LLC,UX Engineer,181000,"Los Angeles, CA",2025
PINTEREST INC,Senior Engineering Manager,151000,"San Francisco, CA",2026
SERVICENOW INC,DevOps Engineer,177000,"Baltimore, MD",2026
PINTEREST INC,Compliance Analyst,154000,"San Francisco, CA",2025
AMAZON COM SERVICES LLC,Senior Product Manager,174000,"Charlotte, NC",2024
IBM CORPORATION,Product Manager,158000,"Orlando, FL",2025
PINTEREST INC,DevOps Engineer,191000,"San Francisco, CA",2026
TESLA INC,Solutions Architect,156000,"Austin, TX",2024
MICROSOFT CORPORATION,UX Engineer,191000,"Redmond, WA",2026
ADOBE INC,Product Manager,140000,"Palo Alto, CA",2026
ORACLE AMERICA INC,Financial Analyst,149000,"Austin, TX",2026
WALMART GLOBAL TECH,Data Scientist,104000,"Ann Arbor, MI",2024
NETFLIX INC,DevOps Engineer,312000,"Alpharetta, GA",2025
MICROSOFT CORPORATION,Site Reliability Engineer,178000,"Redmond, WA",2026
NETFLIX INC,Site Reliability Engineer,284000,"Los Gatos, CA",2025
LINKEDIN CORPORATION,Big Data Engineer,142000,"Bellevue, WA",2026
ZOOM VIDEO COMMUNICATIONS,Solutions Architect,155000,"San Jose, CA",2026
DOCUSIGN INC,Senior Software Engineer,140000,"San Francisco, CA",2025
COGNIZANT TECHNOLOGY SOLUTIONS,UX Engineer,102000,"Teaneck, NJ",2024
TATA CONSULTANCY SERVICES,Senior Data Scientist,94000,"New York, NY",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Cloud Engineer,74000,"Teaneck, NJ",2024
DELOITTE CONSULTING LLP,Data Scientist,106000,"New York, NY",2025
AMAZON WEB SERVICES INC,Solutions Architect,197000,"Seattle, WA",2025
NETFLIX INC,Cloud Engineer,308000,"Cupertino, CA",2026
TWITTER INC,SRE,124000,"San Francisco, CA",2024
TESLA INC,Security Engineer,172000,"Austin, TX",2024
NETFLIX INC,Cloud Engineer,224000,"Mountain View, CA",2024
AMAZON COM SERVICES LLC,Data Scientist,143000,"Seattle, WA",2026
SERVICENOW INC,Software Engineer,145000,"Santa Clara, CA",2026
DOCUSIGN INC,SDET,113000,"San Francisco, CA",2025
DELOITTE CONSULTING LLP,Backend Engineer,141000,"New York, NY",2026
INTEL CORPORATION,Systems Engineer,119000,"Santa Clara, CA",2025
COGNIZANT TECHNOLOGY SOLUTIONS,DevOps Engineer,79000,"Atlanta, GA",2025
SALESFORCE INC,Big Data Engineer,182000,"San Francisco, CA",2024
WORKDAY INC,QA Engineer,124000,"Pleasanton, CA",2025
AIRBNB INC,Staff Software Engineer,190000,"San Francisco, CA",2026
DATADOG INC,Machine Learning Engineer,131000,"Austin, TX",2026
ORACLE AMERICA INC,Frontend Engineer,151000,"Cupertino, CA",2024
DROPOBOX INC,UX Engineer,130000,"San Francisco, CA",2025
IBM CORPORATION,Senior Product Manager,153000,"Armonk, NY",2024
ADOBE INC,Platform Engineer,135000,"Tempe, AZ",2026
WORKDAY INC,Cloud Engineer,141000,"Pleasanton, CA",2024
ADOBE INC,Senior Data Engineer,149000,"Kansas City, MO",2026
DROPOBOX INC,Financial Analyst,183000,"San Francisco, CA",2025
SERVICENOW INC,Research Scientist,164000,"Tampa, FL",2025
TWITTER INC,Senior Software Engineer,150000,"Chicago, IL",2025
AMAZON COM SERVICES LLC,Research Scientist,133000,"Phoenix, AZ",2024
LINKEDIN CORPORATION,QA Engineer,155000,"Sunnyvale, CA",2026
VMWARE LLC,Product Manager,166000,"Palo Alto, CA",2025
MICROSOFT CORPORATION,Technical Program Manager,194000,"Redmond, WA",2026
JPMORGAN CHASE & CO,Backend Engineer,102000,"New York, NY",2026
AMAZON COM SERVICES LLC,Network Engineer,200000,"Alpharetta, GA",2024
SALESFORCE INC,Product Manager,172000,"San Francisco, CA",2025
META PLATFORMS INC,Analytics Engineer,203000,"Mountain View, CA",2026
TWITTER INC,Business Intelligence Engineer,126000,"San Francisco, CA",2025
TESLA INC,Senior Product Manager,134000,"Houston, TX",2026
VMWARE LLC,Data Scientist,159000,"Palo Alto, CA",2025
SPLUNK INC,Engineering Manager,151000,"Milwaukee, WI",2026
SPLUNK INC,Senior Data Engineer,160000,"San Francisco, CA",2026
SNAP INC,Applied Scientist,168000,"Columbus, OH",2024
APPLE INC,Operations Research Analyst,203000,"Cupertino, CA",2024
WORKDAY INC,Full Stack Engineer,165000,"Pleasanton, CA",2026
TATA CONSULTANCY SERVICES,Senior DevOps Engineer,94000,"Nashville, TN",2025
META PLATFORMS INC,SDET,154000,"San Jose, CA",2025
ACCENTURE LLP,Network Engineer,135000,"Chicago, IL",2026
DATADOG INC,Security Engineer,135000,"Brooklyn, NY",2024
META PLATFORMS INC,Software Engineer,162000,"Menlo Park, CA",2026
CAPITAL ONE SERVICES LLC,Solutions Architect,140000,"McLean, VA",2025
TESLA INC,Operations Research Analyst,105000,"Austin, TX",2025
VMWARE LLC,Business Intelligence Engineer,126000,"Arlington, VA",2024
ORACLE AMERICA INC,Research Scientist,163000,"Cambridge, MA",2026
NVIDIA CORPORATION,Site Reliability Engineer,223000,"Santa Clara, CA",2024
DROPOBOX INC,Technical Program Manager,190000,"Atlanta, GA",2024
NETFLIX INC,Database Administrator,248000,"Los Gatos, CA",2026
ADOBE INC,Business Intelligence Engineer,169000,"Newark, NJ",2024
PINTEREST INC,Senior DevOps Engineer,150000,"San Francisco, CA",2026
SALESFORCE INC,Data Engineer,194000,"Ann Arbor, MI",2026
SALESFORCE INC,SRE,127000,"San Francisco, CA",2025
DELOITTE CONSULTING LLP,Engineering Manager,135000,"New York, NY",2025
IBM CORPORATION,Network Engineer,130000,"Armonk, NY",2024
INTEL CORPORATION,Product Manager,158000,"Santa Clara, CA",2026
WALMART GLOBAL TECH,Data Engineer,99000,"Boston, MA",2024
WORKDAY INC,Infrastructure Engineer,162000,"Columbus, OH",2024
SALESFORCE INC,Applied Scientist,129000,"San Francisco, CA",2026
PINTEREST INC,Senior Data Engineer,166000,"San Francisco, CA",2026
WORKDAY INC,Database Administrator,165000,"Cupertino, CA",2026
AIRBNB INC,Big Data Engineer,154000,"New York, NY",2024
IBM CORPORATION,Compliance Analyst,155000,"Minneapolis, MN",2025
SQUARE INC,AI Engineer,154000,"San Francisco, CA",2024
DELOITTE CONSULTING LLP,AI Engineer,96000,"Phoenix, AZ",2026
MICROSOFT CORPORATION,Machine Learning Engineer,183000,"Redmond, WA",2026
NVIDIA CORPORATION,Analytics Engineer,173000,"Irvine, CA",2025
TWITTER INC,Systems Engineer,184000,"San Francisco, CA",2026
GOOGLE LLC,Technical Program Manager,176000,"Mountain View, CA",2026
META PLATFORMS INC,DevOps Engineer,214000,"Menlo Park, CA",2024
AMAZON WEB SERVICES INC,Financial Analyst,174000,"Los Angeles, CA",2026
LINKEDIN CORPORATION,Research Scientist,172000,"Irvine, CA",2024
CAPITAL ONE SERVICES LLC,Network Engineer,150000,"McLean, VA",2024
SNAP INC,AI Engineer,175000,"Charlotte, NC",2025
ORACLE AMERICA INC,Machine Learning Engineer,107000,"Mountain View, CA",2024
UBER TECHNOLOGIES INC,Applied Scientist,193000,"Houston, TX",2025
SQUARE INC,Network Engineer,121000,"Milwaukee, WI",2024
UBER TECHNOLOGIES INC,Product Manager,141000,"San Francisco, CA",2025
TWITTER INC,Applied Scientist,179000,"Chicago, IL",2024
DELOITTE CONSULTING LLP,QA Engineer,109000,"Sacramento, CA",2026
IBM CORPORATION,Applied Scientist,131000,"Armonk, NY",2025
AMAZON COM SERVICES LLC,Senior Engineering Manager,198000,"Seattle, WA",2026
UBER TECHNOLOGIES INC,Engineering Manager,145000,"San Francisco, CA",2026
NETFLIX INC,Machine Learning Engineer,249000,"Arlington, VA",2026
JPMORGAN CHASE & CO,Financial Analyst,153000,"New York, NY",2026
INFOSYS LIMITED,Senior Data Scientist,103000,"Pittsburgh, PA",2026
ZOOM VIDEO COMMUNICATIONS,Senior Product Manager,154000,"Los Angeles, CA",2024
MICROSOFT CORPORATION,Product Manager,168000,"Newark, NJ",2026
DROPOBOX INC,SRE,162000,"Cambridge, MA",2024
DROPOBOX INC,Senior DevOps Engineer,168000,"Bentonville, AR",2026
AMAZON COM SERVICES LLC,Software Engineer,175000,"Seattle, WA",2026
TWITTER INC,Systems Engineer,133000,"San Francisco, CA",2025
TESLA INC,Compliance Analyst,123000,"Alpharetta, GA",2024
VMWARE LLC,Technical Program Manager,141000,"Columbus, OH",2025
COGNIZANT TECHNOLOGY SOLUTIONS,Data Scientist,94000,"Indianapolis, IN",2024
ORACLE AMERICA INC,Software Engineer,146000,"Chicago, IL",2025
STRIPE INC,Data Scientist,146000,"South San Francisco, CA",2024
NETFLIX INC,Senior DevOps Engineer,338000,"Chicago, IL",2025
APPLE INC,Research Scientist,180000,"Cupertino, CA",2025
ZOOM VIDEO COMMUNICATIONS,Engineering Manager,165000,"San Jose, CA",2024
SPLUNK INC,Research Scientist,156000,"San Francisco, CA",2026
AMAZON COM SERVICES LLC,Full Stack Engineer,174000,"Seattle, WA",2024
DATADOG INC,Solutions Architect,158000,"New York, NY",2026
ZOOM VIDEO COMMUNICATIONS,Senior Software Engineer,162000,"Ann Arbor, MI",2024
AIRBNB INC,Applied Scientist,138000,"San Francisco, CA",2026
PINTEREST INC,Frontend Engineer,144000,"Reston, VA",2025
PALANTIR TECHNOLOGIES,AI Engineer,166000,"Jersey City, NJ",2025
AIRBNB INC,Senior Engineering Manager,157000,"Alpharetta, GA",2026
VMWARE LLC,Research Scientist,190000,"Palo Alto, CA",2026
AIRBNB INC,Compliance Analyst,194000,"San Francisco, CA",2026
APPLE INC,Product Manager,187000,"Cupertino, CA",2026
SALESFORCE INC,Technical Lead,161000,"San Francisco, CA",2026
PALANTIR TECHNOLOGIES,Applied Scientist,116000,"Denver, CO",2026
DROPOBOX INC,Analytics Engineer,132000,"San Francisco, CA",2024
ADOBE INC,Operations Research Analyst,165000,"Alpharetta, GA",2026
DATADOG INC,Software Engineer,141000,"New York, NY",2025
DELOITTE CONSULTING LLP,DevOps Engineer,133000,"New York, NY",2026
SQUARE INC,Cloud Engineer,144000,"San Francisco, CA",2025
TATA CONSULTANCY SERVICES,Software Engineer,79000,"Bridgewater, NJ",2026
SALESFORCE INC,Platform Engineer,140000,"San Francisco, CA",2025
NVIDIA CORPORATION,Database Administrator,149000,"Schaumburg, IL",2024
LINKEDIN CORPORATION,UX Engineer,174000,"Indianapolis, IN",2024
TATA CONSULTANCY SERVICES,QA Engineer,74000,"Brooklyn, NY",2025
GOLDMAN SACHS & CO LLC,Technical Lead,156000,"New York, NY",2025
DROPOBOX INC,Business Intelligence Engineer,137000,"Columbus, OH",2025
META PLATFORMS INC,QA Engineer,179000,"Jersey City, NJ",2026
IBM CORPORATION,Analytics Engineer,140000,"Armonk, NY",2025
MICROSOFT CORPORATION,Engineering Manager,184000,"Redmond, WA",2025
AMAZON WEB SERVICES INC,Site Reliability Engineer,178000,"Dallas, TX",2024
NVIDIA CORPORATION,Financial Analyst,181000,"Santa Clara, CA",2025
AIRBNB INC,Frontend Engineer,140000,"San Francisco, CA",2025
AMAZON COM SERVICES LLC,SRE,125000,"Jersey City, NJ",2026
META PLATFORMS INC,Senior Data Engineer,160000,"Atlanta, GA",2025
TESLA INC,Database Administrator,132000,"San Jose, CA",2026
SERVICENOW INC,Security Engineer,173000,"Phoenix, AZ",2025
GOLDMAN SACHS & CO LLC,Senior Engineering Manager,185000,"New York, NY",2025
AIRBNB INC,Full Stack Engineer,156000,"Portland, OR",2024
PALANTIR TECHNOLOGIES,Frontend Engineer,126000,"Denver, CO",2024
SQUARE INC,Senior Engineering Manager,175000,"San Diego, CA",2026
GOLDMAN SACHS & CO LLC,Business Intelligence Engineer,150000,"New York, NY",2026
AIRBNB INC,Systems Engineer,135000,"Columbus, OH",2025
TESLA INC,Operations Research Analyst,111000,"Nashville, TN",2026
SNAP INC,Analytics Engineer,130000,"Santa Monica, CA",2026
WALMART GLOBAL TECH,Technical Lead,128000,"Denver, CO",2026
ORACLE AMERICA INC,Applied Scientist,112000,"Austin, TX",2026
LINKEDIN CORPORATION,Operations Research Analyst,158000,"Sunnyvale, CA",2024
INTEL CORPORATION,Product Manager,133000,"Santa Clara, CA",2026
META PLATFORMS INC,Platform Engineer,197000,"St. Louis, MO",2024
TWITTER INC,Frontend Engineer,162000,"San Francisco, CA",2026
DATADOG INC,Backend Engineer,134000,"New York, NY",2024
GOOGLE LLC,Business Intelligence Engineer,185000,"Denver, CO",2024
DOCUSIGN INC,Senior Product Manager,158000,"San Francisco, CA",2024
DATADOG INC,SDET,121000,"Mountain View, CA",2024
ADOBE INC,Applied Scientist,166000,"San Jose, CA",2024
ACCENTURE LLP,Cloud Engineer,140000,"Chicago, IL",2024
LINKEDIN CORPORATION,Research Scientist,155000,"Sunnyvale, CA",2026
GOLDMAN SACHS & CO LLC,Senior Engineering Manager,167000,"Boulder, CO",2025
